OID,FORK_HEIGHT,FORK_WIDTH,FORK_LENGTH,SPEED,SPEED_WITH_LOAD,UP_SPEED,UP_SPEED_WITH_LOAD,DOWN_SPEED,DOWN_SPEED_WITH_LOAD,MODEL_NAME
1,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
2,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
3,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
4,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
5,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
6,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
7,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
8,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
9,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
10,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
11,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
12,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
13,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
14,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
15,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
16,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
17,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
18,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
19,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
20,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
21,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
22,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
23,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
24,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
25,0.045,1.1,1.7,300,300,34.8,31.2,24,28.8,STILL-RCD30
26,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
27,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
28,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
29,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
30,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
31,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
32,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
33,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
34,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
35,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
36,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
37,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
38,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
39,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
40,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
41,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
42,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
43,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
44,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
45,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
46,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
47,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
48,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
49,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
50,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
51,0.055,1.38,1.7,416.67,416.67,31.8,26.4,21.6,25.2,STILL-RCD50
